Year,Crop,District,grand_total_production,grand_total_area,Rain_fall_actual(mm),Rain_fall_deviation(%),Temp_max(C),Temp_min(C),Yield,Temp_mean(C),Tbase,GDD_Year
2018,Banana,KOLLAM,23107.459,3332.28,2459.1,0.255454545,35.95454545,20.91454545,6.93442898,28.43454545,8,20.43454545
2019,Banana,KOLLAM,25411.049,3385.57,2646.627273,0.16,35.15454545,20.70909091,7.505692985,27.93181818,8,19.93181818
2020,Banana,KOLLAM,23202.765,3413.32,2783.627273,0.224545455,36.18181818,22.72727273,6.797711612,29.45454545,8,21.45454545
2021,Banana,KOLLAM,20693.532,3235.64,3142.527273,0.372727273,34,21.84545455,6.395498881,27.92272727,8,19.92272727
2022,Banana,KOLLAM,18645.136,2675.98,2920.027273,0.285454545,30.93636364,19.38181818,6.967591686,25.15909091,8,17.15909091
2023,Banana,KOLLAM,22480.843,3079.58,1683.536364,-0.272727273,35.51818182,17.97272727,7.299970451,26.74545455,8,18.74545455
2024,Banana,KOLLAM,20685.443,2734.41,2429.981818,0.254545455,36.11818182,22.08181818,7.564865181,29.1,8,21.1
2016,Banana,KOTTAYAM,23356.06,2889.4,11952.75455,2.613636364,35.06363636,23.69090909,8.083359867,29.37727273,8,21.37727273
2017,Banana,KOTTAYAM,21387.602,2650.72,20276.05455,5.145454545,35.51818182,19.48181818,8.068600984,27.5,8,19.5
2018,Banana,KOTTAYAM,25126.12,2968.75,2802.045455,0.071818182,36.46363636,20.81818182,8.463535158,28.64090909,8,20.64090909
2019,Banana,KOTTAYAM,28209.558,3129.6,3973.309091,0.245454545,34.56545455,19.60545455,9.013790261,27.08545455,8,19.08545455
2020,Banana,KOTTAYAM,31896.437,3235.6,3539.181818,0.108181818,33.36363636,21.54545455,9.857966683,27.45454545,8,19.45454545
2021,Banana,KOTTAYAM,30526.544,3270.02,3783.936364,0.180909091,38,22.41818182,9.33527746,30.20909091,8,22.20909091
2022,Banana,KOTTAYAM,31832.9,3177.94,3879.936364,0.195454545,35.47272727,21.28181818,10.0168348,28.37727273,8,20.37727273
2023,Banana,KOTTAYAM,32541.419,3401.87,2456.318182,-0.251818182,37.33636364,21.31818182,9.565744429,29.32727273,8,21.32727273
2024,Banana,KOTTAYAM,32150.483,3291.86,3185.536364,0.017272727,35.76363636,23.79090909,9.766661705,29.77727273,8,21.77727273
2016,Banana,KOZHIKODE,17663.93,1921.87,2622.858333,-0.035,38.39166667,22.50833333,9.191011879,30.45,8,22.45
2017,Banana,KOZHIKODE,15608.145,1651.05,2170.516667,-0.224166667,36.95,21.33333333,9.453465976,29.14166667,8,21.14166667
2018,Banana,KOZHIKODE,12801.965,1505.31,2392.958333,0.151666667,36.88333333,20.655,8.504537271,28.76916667,8,20.76916667
2019,Banana,KOZHIKODE,11991.415,1330.67,3766.125,0.389166667,33.4,21.35,9.011561845,27.375,8,19.375
2020,Banana,KOZHIKODE,11265.128,1481.41,3702.458333,0.358333333,34.575,21.59166667,7.604328309,28.08333333,8,20.08333333
2021,Banana,KOZHIKODE,24220.897,2111.62,3946.483333,0.4275,35.41666667,18.3,11.47029153,26.85833333,8,18.85833333
2022,Banana,KOZHIKODE,16642.965,1455.11,3357.966667,0.205833333,36.13333333,22.175,11.43759922,29.15416667,8,21.15416667
2023,Banana,KOZHIKODE,19698.039,1533.04,3200.375,0.145833333,36.99166667,20.15,12.84900524,28.57083333,8,20.57083333
2024,Banana,KOZHIKODE,14333.594,1276.71,2764.533333,0.0125,39.09166667,22.60833333,11.22697715,30.85,8,22.85
2016,Banana,MALAPPURAM,63071.02,7422.93,2064.08,-0.061333333,37.8,20.64666667,8.496782268,29.22333333,8,21.22333333
2017,Banana,MALAPPURAM,53773.088,6595.45,1464.18,-0.424666667,37.16666667,20.86666667,8.153058245,29.01666667,8,21.01666667
2018,Banana,MALAPPURAM,56834.978,6975.25,1974.04,0.018,36.92,20.44666667,8.148091896,28.68333333,8,20.68333333
